age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
1 year,A744358,Dog,Partner,Transfer,Intact Female
6 months,A744360,Cat,,Adoption,Neutered Male
8 years,A744361,Dog,,Return to Owner,Spayed Female
1 year,A744362,Dog,,Return to Owner,Neutered Male
3 months,A744364,Cat,,Adoption,Neutered Male
2 months,A744365,Dog,,Adoption,Spayed Female
3 months,A744365,Dog,,Adoption,Spayed Female
2 months,A744366,Dog,,Adoption,Spayed Female
1 year,A744369,Dog,,Return to Owner,Intact Male
2 months,A744370,Dog,Partner,Transfer,Spayed Female
2 months,A744371,Dog,,Adoption,Spayed Female
2 months,A744372,Dog,,Adoption,Spayed Female
7 months,A744373,Cat,SCRP,Transfer,Intact Male
7 months,A744374,Cat,SCRP,Transfer,Intact Male
3 years,A744375,Cat,,Adoption,Neutered Male
1 year,A744377,Dog,,Adoption,Neutered Male
1 year,A744384,Dog,,Return to Owner,Spayed Female
1 year,A744384,Dog,Partner,Transfer,Spayed Female
1 year,A744385,Dog,,Return to Owner,Intact Male
1 year,A744385,Dog,Partner,Transfer,Intact Male
3 years,A744388,Dog,Partner,Transfer,Spayed Female
1 year,A744391,Dog,,Adoption,Spayed Female
10 months,A744392,Cat,,Adoption,Spayed Female
10 months,A744393,Cat,,Adoption,Spayed Female
11 months,A744394,Cat,Partner,Transfer,Neutered Male
1 year,A744395,Dog,,Adoption,Spayed Female
1 year,A744397,Dog,Partner,Transfer,Intact Female
1 year,A744398,Dog,Partner,Transfer,Intact Female
2 years,A744400,Dog,,Return to Owner,Intact Male
4 months,A744401,Dog,Partner,Transfer,Neutered Male
3 months,A744403,Dog,,Adoption,Spayed Female
1 year,A744404,Dog,,Adoption,Neutered Male
6 months,A744405,Dog,,Adoption,Spayed Female
6 months,A744406,Dog,,Adoption,Spayed Female
4 years,A744407,Dog,,Adoption,Neutered Male
4 years,A744407,Dog,,Return to Owner,Neutered Male
4 years,A744407,Dog,Partner,Transfer,Neutered Male
1 year,A744408,Cat,SCRP,Transfer,Neutered Male
3 years,A744411,Dog,,Return to Owner,Neutered Male
2 months,A744412,Dog,,Adoption,Spayed Female
3 years,A744414,Dog,,Return to Owner,Neutered Male
1 year,A744415,Cat,Foster,Adoption,Spayed Female
10 months,A744416,Dog,,Adoption,Spayed Female
2 years,A744417,Dog,,Return to Owner,Spayed Female
3 years,A744419,Dog,Partner,Transfer,Intact Female
8 months,A744420,Cat,,Adoption,Spayed Female
1 year,A744421,Dog,,Adoption,Neutered Male
1 year,A744424,Cat,,Adoption,Spayed Female
2 months,A744425,Cat,Foster,Adoption,Neutered Male
2 months,A744426,Cat,Foster,Adoption,Spayed Female
2 months,A744427,Cat,Foster,Adoption,Neutered Male
2 months,A744428,Cat,Foster,Adoption,Neutered Male
2 years,A744429,Dog,,Adoption,Neutered Male
1 year,A744430,Dog,,Adoption,Spayed Female
2 years,A744431,Dog,,Return to Owner,Intact Male
1 year,A744433,Dog,Partner,Transfer,Spayed Female
1 year,A744435,Dog,,Return to Owner,Spayed Female
1 year,A744436,Dog,,Adoption,Neutered Male
1 year,A744439,Dog,,Return to Owner,Intact Male
1 year,A744439,Dog,,Return to Owner,Intact Male
1 year,A744440,Dog,,Return to Owner,Intact Male
1 year,A744440,Dog,,Return to Owner,Intact Male
1 year,A744442,Dog,,Return to Owner,Neutered Male
8 years,A744444,Dog,,Return to Owner,Intact Male
6 years,A744445,Dog,Partner,Transfer,Neutered Male
1 year,A744446,Dog,Partner,Transfer,Intact Male
10 months,A744447,Cat,SCRP,Transfer,Neutered Male
1 year,A744448,Dog,,Adoption,Spayed Female
1 year,A744449,Dog,,Adoption,Spayed Female
3 years,A744450,Dog,,Adoption,Spayed Female
9 months,A744451,Dog,,Adoption,Spayed Female
2 years,A744452,Dog,Partner,Transfer,Intact Male
1 year,A744453,Cat,SCRP,Transfer,Spayed Female
3 months,A744454,Dog,,Adoption,Neutered Male
1 year,A744455,Cat,Partner,Transfer,Intact Male
19 years,A744457,Dog,,Return to Owner,Intact Male
3 years,A744459,Dog,Partner,Transfer,Intact Female
2 years,A744464,Dog,,Return to Owner,Intact Male
4 years,A744465,Dog,,Adoption,Spayed Female
3 years,A744466,Dog,,Return to Owner,Spayed Female
8 years,A744468,Cat,,Return to Owner,Spayed Female
2 years,A744469,Cat,,Return to Owner,Neutered Male
2 years,A744470,Cat,,Return to Owner,Neutered Male
1 year,A744471,Dog,,Adoption,Neutered Male
1 year,A744471,Dog,Partner,Transfer,Neutered Male
11 months,A744475,Dog,,Return to Owner,Intact Female
1 year,A744477,Cat,,Adoption,Spayed Female
2 years,A744478,Dog,,Return to Owner,Intact Male
5 years,A744480,Dog,Foster,Adoption,Spayed Female
2 years,A744481,Dog,Partner,Transfer,Intact Male
7 years,A744483,Dog,,Return to Owner,Spayed Female
1 year,A744488,Dog,,Adoption,Spayed Female
8 months,A744489,Dog,,Adoption,Spayed Female
8 years,A744491,Dog,,Return to Owner,Spayed Female
8 years,A744491,Dog,,Return to Owner,Spayed Female
4 years,A744492,Dog,,Return to Owner,Neutered Male
4 years,A744492,Dog,,Return to Owner,Neutered Male
4 years,A744493,Dog,,Return to Owner,Spayed Female
4 years,A744493,Dog,,Return to Owner,Spayed Female
2 months,A744494,Dog,,Adoption,Spayed Female
4 years,A744497,Cat,,Adoption,Spayed Female
4 months,A744500,Dog,,Return to Owner,Intact Male
2 years,A744504,Cat,Partner,Transfer,Intact Female
2 years,A744507,Cat,,Adoption,Neutered Male
2 years,A744507,Cat,,Adoption,Neutered Male
3 months,A744509,Dog,,Adoption,Spayed Female
1 year,A744510,Cat,Foster,Adoption,Spayed Female
1 year,A744511,Cat,,Adoption,Spayed Female
1 year,A744512,Cat,,Adoption,Neutered Male
2 months,A744513,Cat,Foster,Adoption,Neutered Male
2 months,A744514,Cat,Foster,Adoption,Neutered Male
2 months,A744515,Cat,Foster,Adoption,Neutered Male
2 months,A744516,Cat,Foster,Adoption,Spayed Female
2 months,A744517,Dog,,Adoption,Neutered Male
1 month,A744517,Dog,,Adoption,Neutered Male
1 year,A744519,Dog,,Adoption,Spayed Female
1 year,A744520,Dog,Partner,Transfer,Intact Female
3 months,A744521,Dog,Partner,Transfer,Intact Female
3 months,A744522,Dog,Partner,Transfer,Intact Female
2 months,A744523,Dog,,Adoption,Spayed Female
2 years,A744525,Cat,SCRP,Transfer,Spayed Female
2 years,A744526,Cat,SCRP,Transfer,Intact Male
2 years,A744527,Cat,SCRP,Transfer,Spayed Female
2 years,A744528,Cat,SCRP,Transfer,Spayed Female
2 years,A744529,Cat,SCRP,Transfer,Neutered Male
2 years,A744530,Dog,Partner,Transfer,Spayed Female
7 years,A744531,Cat,Partner,Transfer,Neutered Male
7 years,A744531,Cat,SCRP,Transfer,Neutered Male
2 years,A744532,Cat,SCRP,Transfer,Spayed Female
2 years,A744533,Cat,SCRP,Transfer,Neutered Male
7 years,A744534,Cat,,Return to Owner,Neutered Male
2 years,A744535,Cat,SCRP,Transfer,Neutered Male
5 years,A744536,Dog,,Return to Owner,Intact Male
8 years,A744539,Dog,Partner,Transfer,Spayed Female
6 years,A744540,Dog,,Adoption,Spayed Female
6 years,A744540,Dog,Partner,Transfer,Spayed Female
9 years,A744541,Dog,,Adoption,Neutered Male
1 year,A744544,Dog,,Adoption,Spayed Female
1 year,A744547,Dog,,Return to Owner,Intact Male
2 years,A744549,Cat,,Return to Owner,Neutered Male
2 years,A744551,Dog,,Adoption,Neutered Male
2 years,A744551,Dog,,Adoption,Neutered Male
2 months,A744557,Dog,Foster,Adoption,Spayed Female
2 months,A744558,Dog,Foster,Adoption,Neutered Male
2 months,A744559,Dog,Foster,Adoption,Neutered Male
2 months,A744560,Dog,Foster,Adoption,Neutered Male
2 months,A744561,Dog,Foster,Adoption,Neutered Male
2 months,A744562,Dog,Foster,Adoption,Neutered Male
9 years,A744564,Cat,,Adoption,Spayed Female
6 years,A744565,Cat,Partner,Transfer,Neutered Male
10 months,A744567,Dog,,Rto-Adopt,Neutered Male
4 years,A744568,Dog,,Return to Owner,Neutered Male
4 years,A744570,Cat,,Adoption,Neutered Male
3 months,A744571,Cat,,Adoption,Neutered Male
3 months,A744572,Cat,,Adoption,Spayed Female
2 months,A744574,Cat,,Return to Owner,Intact Male
2 years,A744576,Cat,,Adoption,Neutered Male
2 years,A744577,Cat,,Adoption,Spayed Female
3 months,A744578,Dog,,Adoption,Neutered Male
1 year,A744579,Dog,,Adoption,Spayed Female
1 year,A744579,Dog,,Rto-Adopt,Spayed Female
2 months,A744581,Cat,Foster,Adoption,Intact Male
1 year,A744582,Dog,,Return to Owner,Intact Male
2 years,A744583,Dog,,Adoption,Neutered Male
2 years,A744583,Dog,,Adoption,Neutered Male
2 years,A744583,Dog,,Return to Owner,Neutered Male
3 years,A744584,Dog,,Adoption,Spayed Female
2 years,A744587,Cat,,Rto-Adopt,Spayed Female
4 years,A744588,Cat,,Adoption,Neutered Male
5 months,A744591,Dog,,Adoption,Spayed Female
5 months,A744592,Dog,,Adoption,Spayed Female
2 years,A744593,Dog,Partner,Transfer,Spayed Female
8 years,A744596,Dog,,Return to Owner,Intact Female
5 months,A744597,Dog,Partner,Transfer,Spayed Female
1 year,A744598,Dog,,Adoption,Neutered Male
7 years,A744599,Dog,,Return to Owner,Intact Female
3 years,A744601,Dog,,Adoption,Neutered Male
3 years,A744601,Dog,,Adoption,Neutered Male
2 years,A744604,Dog,,Adoption,Neutered Male
4 years,A744610,Dog,Partner,Transfer,Neutered Male
4 years,A744611,Dog,Partner,Transfer,Neutered Male
1 year,A744612,Dog,,Return to Owner,Spayed Female
1 year,A744613,Dog,Partner,Transfer,Spayed Female
6 years,A744614,Dog,,Adoption,Neutered Male
6 years,A744614,Dog,,Adoption,Neutered Male
1 year,A744615,Dog,,Adoption,Neutered Male
2 years,A744618,Dog,,Adoption,Spayed Female
5 months,A744619,Dog,,Euthanasia,Intact Female
2 years,A744621,Cat,SCRP,Transfer,Spayed Female
2 years,A744621,Cat,,Adoption,Spayed Female
2 years,A744623,Cat,SCRP,Transfer,Intact Male
2 years,A744624,Cat,SCRP,Transfer,Intact Male
3 years,A744625,Cat,SCRP,Transfer,Intact Male
10 months,A744626,Dog,Partner,Transfer,Neutered Male
2 months,A744628,Dog,,Adoption,Spayed Female
5 years,A744629,Cat,,Adoption,Spayed Female
3 years,A744630,Dog,Partner,Transfer,Intact Male
3 months,A744632,Cat,,Adoption,Spayed Female
8 months,A744633,Cat,,Adoption,Neutered Male
8 months,A744633,Cat,,Adoption,Neutered Male
3 months,A744633,Cat,,Adoption,Neutered Male
1 year,A744634,Cat,SCRP,Transfer,Neutered Male
2 years,A744635,Cat,Partner,Transfer,Spayed Female
4 years,A744636,Dog,,Adoption,Neutered Male
5 years,A744639,Dog,,Return to Owner,Spayed Female
1 year,A744640,Dog,,Adoption,Spayed Female
7 months,A744649,Dog,,Return to Owner,Intact Female
1 year,A744649,Dog,,Adoption,Spayed Female
1 year,A744651,Dog,,Return to Owner,Intact Male
2 years,A744654,Cat,,Rto-Adopt,Neutered Male
3 years,A744655,Cat,,Adoption,Spayed Female
2 months,A744657,Dog,,Adoption,Neutered Male
2 months,A744660,Cat,,Adoption,Spayed Female
10 years,A744661,Dog,,Return to Owner,Spayed Female
2 years,A744662,Cat,SCRP,Transfer,Neutered Male
1 year,A744663,Cat,SCRP,Transfer,Neutered Male
1 year,A744666,Dog,,Adoption,Neutered Male
1 year,A744667,Dog,,Adoption,Neutered Male
1 month,A744668,Dog,Foster,Adoption,Spayed Female
1 year,A744671,Cat,SCRP,Transfer,Spayed Female
1 year,A744673,Dog,,Adoption,Spayed Female
4 years,A744674,Dog,Partner,Transfer,Neutered Male
2 years,A744675,Dog,Partner,Transfer,Intact Female
1 year,A744676,Dog,,Adoption,Neutered Male
1 year,A744678,Cat,SCRP,Transfer,Neutered Male
2 years,A744684,Dog,,Return to Owner,Intact Female
2 years,A744685,Dog,,Adoption,Spayed Female
2 years,A744686,Dog,Partner,Transfer,Spayed Female
2 years,A744686,Dog,,Adoption,Spayed Female
11 years,A744689,Cat,Partner,Transfer,Spayed Female
1 year,A744690,Dog,,Return to Owner,Neutered Male
1 year,A744691,Dog,,Adoption,Spayed Female
2 months,A744695,Dog,,Return to Owner,Intact Female
2 months,A744696,Dog,,Return to Owner,Intact Female
4 months,A744697,Dog,,Return to Owner,Intact Male
12 years,A744698,Dog,Partner,Transfer,Spayed Female
2 years,A744699,Dog,,Return to Owner,Intact Male
4 years,A744700,Dog,,Return to Owner,Intact Female
1 year,A744703,Dog,,Adoption,Spayed Female
2 years,A744708,Dog,,Return to Owner,Spayed Female
3 years,A744708,Dog,,Adoption,Spayed Female
2 years,A744710,Dog,,Return to Owner,Neutered Male
1 year,A744711,Dog,,Return to Owner,Neutered Male
1 year,A744712,Cat,Suffering,Euthanasia,Spayed Female
7 months,A744714,Dog,Partner,Transfer,Neutered Male
1 year,A744716,Cat,Partner,Transfer,Neutered Male
3 years,A744720,Cat,At Vet,Died,Spayed Female
1 year,A744721,Dog,,Return to Owner,Intact Male
1 year,A744721,Dog,,Return to Owner,Intact Male
1 year,A744725,Cat,SCRP,Transfer,Intact Female
1 year,A744725,Cat,,Adoption,Spayed Female
9 months,A744727,Cat,SCRP,Transfer,Intact Male
22 years,A744732,Cat,Suffering,Euthanasia,Spayed Female
5 years,A744733,Cat,,Adoption,Neutered Male
5 years,A744733,Cat,,Adoption,Neutered Male
1 year,A744735,Dog,,Return to Owner,Intact Female
8 months,A744737,Dog,,Adoption,Spayed Female
8 months,A744737,Dog,,Adoption,Spayed Female
1 year,A744738,Dog,,Return to Owner,Spayed Female
1 year,A744739,Dog,,Return to Owner,Spayed Female
4 years,A744744,Dog,,Return to Owner,Neutered Male
4 months,A744753,Dog,,Adoption,Spayed Female
1 year,A744754,Dog,,Adoption,Neutered Male
2 years,A744755,Cat,,Adoption,Neutered Male
11 months,A744760,Dog,,Return to Owner,Intact Male
5 months,A744760,Dog,,Return to Owner,Intact Male
1 year,A744761,Cat,,Adoption,Neutered Male
1 year,A744762,Dog,,Return to Owner,Intact Male
1 year,A744772,Cat,SCRP,Transfer,Spayed Female
2 months,A744773,Dog,,Adoption,Spayed Female
1 year,A744776,Cat,Partner,Transfer,Neutered Male
2 months,A744777,Dog,,Adoption,Spayed Female
2 months,A744778,Dog,,Adoption,Neutered Male
1 year,A744779,Dog,,Adoption,Spayed Female
5 years,A744783,Cat,Suffering,Euthanasia,Spayed Female
10 years,A744786,Dog,Partner,Transfer,Neutered Male
4 years,A744787,Dog,,Return to Owner,Spayed Female
1 year,A744790,Dog,Partner,Transfer,Neutered Male
1 year,A744791,Dog,,Adoption,Neutered Male
6 years,A744794,Dog,,Adoption,Spayed Female
6 years,A744794,Dog,,Adoption,Spayed Female
6 years,A744794,Dog,,Adoption,Spayed Female
1 year,A744796,Dog,,Return to Owner,Intact Male
3 years,A744799,Dog,Partner,Transfer,Neutered Male
3 years,A744800,Dog,,Return to Owner,Spayed Female
3 years,A744801,Dog,,Return to Owner,Intact Female
10 years,A744802,Cat,,Adoption,Spayed Female
1 year,A744804,Cat,SCRP,Transfer,Neutered Male
1 year,A744804,Cat,,Adoption,Neutered Male
9 years,A744807,Dog,,Return to Owner,Intact Female
1 year,A744809,Cat,,Adoption,Spayed Female
1 year,A744809,Cat,,Adoption,Spayed Female
1 year,A744810,Dog,Partner,Transfer,Intact Female
1 year,A744811,Dog,,Adoption,Spayed Female
1 year,A744811,Dog,,Adoption,Spayed Female
1 year,A744811,Dog,,Adoption,Spayed Female
1 year,A744812,Dog,Partner,Transfer,Neutered Male
2 years,A744813,Cat,Foster,Adoption,Spayed Female
2 months,A744815,Cat,Foster,Adoption,Neutered Male
2 weeks,A744817,Cat,In Foster,Died,Intact Male
2 months,A744818,Cat,Foster,Adoption,Neutered Male
2 months,A744819,Cat,Foster,Adoption,Neutered Male
5 days,A744820,Cat,In Foster,Died,Intact Male
2 months,A744821,Cat,Foster,Adoption,Neutered Male
10 months,A744822,Dog,Partner,Transfer,Spayed Female
5 years,A744823,Dog,,Rto-Adopt,Neutered Male
2 years,A744824,Dog,,Return to Owner,Intact Female
3 years,A744825,Cat,Partner,Transfer,Intact Male
2 years,A744826,Cat,,Return to Owner,Neutered Male
2 months,A744827,Cat,,Adoption,Neutered Male
2 months,A744828,Cat,Foster,Adoption,Spayed Female
1 year,A744829,Dog,,Adoption,Spayed Female
9 years,A744830,Dog,,Euthanasia,Neutered Male
1 year,A744831,Cat,,Adoption,Spayed Female
3 months,A744832,Cat,,Adoption,Spayed Female
3 months,A744833,Cat,,Adoption,Spayed Female
4 months,A744834,Dog,,Adoption,Spayed Female
2 months,A744835,Dog,,Adoption,Spayed Female
1 year,A744843,Dog,,Return to Owner,Neutered Male
1 year,A744843,Dog,Partner,Transfer,Neutered Male
1 year,A744846,Dog,,Adoption,Spayed Female
2 months,A744851,Cat,Foster,Adoption,Neutered Male
3 years,A744852,Dog,,Adoption,Spayed Female
2 years,A744853,Cat,SCRP,Transfer,Neutered Male
2 years,A744853,Cat,Snr,Transfer,Neutered Male
4 years,A744862,Dog,,Adoption,Spayed Female
2 years,A744863,Cat,,Euthanasia,Unknown
2 years,A744865,Cat,Partner,Transfer,Intact Male
3 years,A744870,Dog,Barn,Transfer,Intact Female
3 years,A744888,Dog,,Adoption,Neutered Male
3 years,A744889,Dog,,Adoption,Neutered Male
3 years,A744889,Dog,,Return to Owner,Neutered Male
1 year,A744892,Dog,Offsite,Adoption,Neutered Male
8 years,A744893,Cat,Partner,Transfer,Neutered Male
3 years,A744896,Dog,,Return to Owner,Intact Male
1 year,A744897,Dog,,Adoption,Spayed Female
1 year,A744897,Dog,,Adoption,Spayed Female
1 year,A744898,Dog,,Return to Owner,Intact Male
1 year,A744899,Dog,,Adoption,Spayed Female
8 years,A744902,Cat,,Return to Owner,Spayed Female
4 years,A744906,Cat,,Return to Owner,Intact Male
4 months,A744908,Dog,,Adoption,Spayed Female
1 year,A744909,Cat,SCRP,Transfer,Intact Female
1 year,A744910,Dog,Partner,Transfer,Intact Male
1 year,A744911,Dog,Partner,Transfer,Intact Female
1 year,A744914,Dog,Partner,Transfer,Intact Female
1 year,A744915,Dog,Foster,Adoption,Neutered Male
1 year,A744916,Dog,Partner,Transfer,Intact Female
2 months,A744917,Dog,,Adoption,Neutered Male
2 months,A744918,Dog,,Adoption,Neutered Male
2 months,A744919,Dog,,Adoption,Spayed Female
2 months,A744920,Dog,,Adoption,Neutered Male
2 months,A744921,Dog,,Adoption,Neutered Male
2 months,A744922,Dog,,Adoption,Neutered Male
2 months,A744923,Dog,,Adoption,Spayed Female
4 years,A744925,Dog,Partner,Transfer,Spayed Female
6 months,A744926,Dog,,Adoption,Spayed Female
2 years,A744934,Dog,,Return to Owner,Neutered Male
2 years,A744934,Dog,,Return to Owner,Intact Male
2 years,A744934,Dog,,Rto-Adopt,Neutered Male
4 years,A744935,Dog,,Return to Owner,Intact Male
4 years,A744935,Dog,,Return to Owner,Intact Male
1 year,A744936,Dog,,Return to Owner,Neutered Male
1 year,A744937,Dog,,Return to Owner,Intact Female
1 year,A744943,Dog,,Return to Owner,Intact Male
1 year,A744943,Dog,,Adoption,Neutered Male
7 years,A744944,Dog,,Return to Owner,Neutered Male
5 years,A744945,Dog,,Return to Owner,Spayed Female
2 years,A744950,Dog,Partner,Transfer,Neutered Male
1 year,A744952,Dog,,Adoption,Spayed Female
1 year,A744953,Dog,Partner,Transfer,Spayed Female
6 years,A744954,Dog,Foster,Adoption,Spayed Female
2 years,A744956,Dog,,Return to Owner,Neutered Male
2 years,A744956,Dog,,Adoption,Neutered Male
2 years,A744959,Dog,Partner,Transfer,Neutered Male
2 years,A744960,Dog,,Adoption,Spayed Female
1 year,A744962,Dog,,Adoption,Neutered Male
8 months,A744963,Cat,Partner,Transfer,Intact Male
12 years,A744965,Dog,,Adoption,Intact Male
1 year,A744966,Dog,,Adoption,Spayed Female
2 years,A744969,Dog,Foster,Adoption,Neutered Male
3 years,A744969,Dog,Foster,Adoption,Neutered Male
6 months,A744971,Dog,Offsite,Adoption,Neutered Male
1 year,A744971,Dog,,Return to Owner,Neutered Male
7 years,A744972,Cat,Partner,Transfer,Neutered Male
4 months,A744974,Dog,,Adoption,Spayed Female
4 months,A744975,Dog,,Adoption,Neutered Male
4 years,A744981,Dog,,Adoption,Neutered Male
1 year,A744982,Dog,,Return to Owner,Spayed Female
2 years,A744983,Dog,Partner,Transfer,Neutered Male
2 years,A744984,Dog,Partner,Transfer,Intact Female
3 years,A744985,Dog,,Adoption,Spayed Female
5 years,A744986,Dog,Foster,Adoption,Spayed Female
1 year,A744987,Dog,Foster,Adoption,Neutered Male
2 years,A744988,Dog,Partner,Transfer,Neutered Male
2 years,A744989,Dog,,Adoption,Spayed Female
1 year,A744990,Dog,Partner,Transfer,Neutered Male
14 years,A744992,Cat,Partner,Transfer,Spayed Female
9 months,A744993,Cat,,Adoption,Spayed Female
1 year,A744998,Dog,,Adoption,Neutered Male
2 years,A745002,Dog,,Adoption,Neutered Male
2 years,A745002,Dog,,Adoption,Neutered Male
11 years,A745004,Dog,,Return to Owner,Intact Male
1 month,A745007,Cat,,Died,Unknown
14 years,A745009,Dog,,Return to Owner,Intact Male
2 years,A745010,Cat,Suffering,Euthanasia,Neutered Male
12 years,A745011,Cat,Partner,Transfer,Spayed Female
12 years,A745011,Cat,,Adoption,Spayed Female
2 years,A745012,Cat,,Adoption,Neutered Male
2 years,A745013,Dog,,Adoption,Spayed Female
1 year,A745016,Dog,,Adoption,Neutered Male
1 year,A745016,Dog,,Adoption,Neutered Male
2 years,A745017,Dog,Offsite,Adoption,Neutered Male
20 years,A745018,Cat,,Return to Owner,Neutered Male
7 months,A745021,Cat,SCRP,Transfer,Intact Female
2 months,A745023,Dog,,Adoption,Neutered Male
2 years,A745026,Dog,Partner,Transfer,Intact Female
2 months,A745027,Dog,,Adoption,Neutered Male
4 years,A745028,Dog,,Disposal,Intact Female
7 months,A745030,Cat,SCRP,Transfer,Intact Male
10 years,A745034,Dog,,Return to Owner,Spayed Female
4 months,A745035,Cat,,Adoption,Spayed Female
2 years,A745036,Dog,,Adoption,Neutered Male
1 year,A745037,Cat,Enroute,Died,Unknown
1 year,A745039,Dog,,Return to Owner,Neutered Male
10 months,A745041,Dog,,Adoption,Spayed Female
9 years,A745042,Dog,Partner,Transfer,Neutered Male
3 years,A745044,Dog,In Kennel,Died,Intact Male
7 years,A745046,Cat,At Vet,Euthanasia,Neutered Male
10 years,A745049,Dog,,Return to Owner,Neutered Male
1 year,A745053,Cat,,Adoption,Spayed Female
1 year,A745054,Dog,Partner,Transfer,Spayed Female
1 year,A745056,Dog,,Adoption,Neutered Male
1 year,A745058,Dog,,Disposal,Intact Male
4 years,A745062,Dog,Partner,Transfer,Intact Female
1 year,A745063,Dog,,Adoption,Neutered Male
1 year,A745063,Dog,,Adoption,Neutered Male
1 year,A745064,Dog,,Adoption,Spayed Female
9 years,A745065,Dog,,Return to Owner,Spayed Female
1 year,A745066,Dog,,Adoption,Spayed Female
4 years,A745068,Dog,,Return to Owner,Spayed Female
2 years,A745069,Cat,SCRP,Transfer,Spayed Female
7 years,A745070,Dog,,Return to Owner,Spayed Female
1 year,A745071,Dog,,Adoption,Neutered Male
1 year,A745071,Dog,,Rto-Adopt,Neutered Male
1 month,A745072,Dog,Partner,Transfer,Intact Female
1 month,A745073,Dog,Partner,Transfer,Intact Female
1 month,A745074,Dog,Partner,Transfer,Intact Female
8 months,A745075,Cat,Partner,Transfer,Intact Female
5 days,A745076,Cat,Partner,Transfer,Unknown
4 days,A745077,Cat,Partner,Transfer,Unknown
4 days,A745078,Cat,Partner,Transfer,Unknown
4 days,A745079,Cat,Partner,Transfer,Unknown
4 days,A745080,Cat,Partner,Transfer,Unknown
4 days,A745081,Cat,In Foster,Died,Unknown
2 years,A745082,Dog,,Adoption,Neutered Male
2 years,A745083,Dog,,Adoption,Neutered Male
8 months,A745084,Cat,,Adoption,Spayed Female
1 month,A745085,Dog,,Adoption,Spayed Female
3 years,A745087,Dog,,Adoption,Spayed Female
3 years,A745088,Dog,,Adoption,Spayed Female
4 years,A745090,Dog,,Adoption,Neutered Male
1 year,A745094,Cat,SCRP,Transfer,Neutered Male
1 year,A745097,Dog,Foster,Adoption,Spayed Female
2 years,A745099,Dog,Partner,Transfer,Neutered Male
2 years,A745099,Dog,Partner,Transfer,Neutered Male
2 years,A745099,Dog,,Return to Owner,Neutered Male
15 years,A745100,Dog,,Return to Owner,Neutered Male
5 years,A745101,Dog,Partner,Transfer,Intact Female
4 months,A745102,Dog,Partner,Transfer,Neutered Male
2 years,A745104,Cat,,Adoption,Spayed Female
13 years,A745107,Cat,,Return to Owner,Neutered Male
3 years,A745109,Cat,Partner,Transfer,Intact Female
1 year,A745110,Dog,Partner,Transfer,Neutered Male
1 month,A745111,Cat,In Foster,Died,Intact Female
1 month,A745112,Cat,Foster,Adoption,Spayed Female
2 months,A745113,Cat,Foster,Adoption,Spayed Female
1 month,A745114,Cat,Foster,Adoption,Neutered Male
2 years,A745116,Dog,,Return to Owner,Neutered Male
10 months,A745117,Dog,Partner,Transfer,Intact Male
13 years,A745121,Dog,Partner,Transfer,Neutered Male
1 year,A745122,Dog,,Adoption,Neutered Male
2 months,A745123,Dog,Foster,Adoption,Neutered Male
2 months,A745124,Dog,Foster,Adoption,Neutered Male
2 months,A745125,Dog,Foster,Adoption,Spayed Female
3 months,A745125,Dog,Foster,Adoption,Spayed Female
4 months,A745126,Dog,Foster,Adoption,Spayed Female
3 months,A745127,Dog,Foster,Adoption,Neutered Male
2 months,A745129,Dog,,Return to Owner,Intact Male
2 years,A745131,Dog,,Adoption,Neutered Male
1 year,A745132,Dog,Partner,Transfer,Neutered Male
1 year,A745133,Dog,Partner,Transfer,Neutered Male
10 months,A745137,Dog,Partner,Transfer,Intact Female
1 year,A745138,Dog,,Adoption,Spayed Female
1 year,A745140,Cat,SCRP,Transfer,Intact Female
1 year,A745141,Cat,SCRP,Transfer,Intact Female
1 year,A745142,Cat,SCRP,Transfer,Intact Female
1 year,A745143,Cat,SCRP,Transfer,Intact Female
3 months,A745144,Cat,SCRP,Transfer,Intact Female
1 year,A745145,Dog,,Adoption,Neutered Male
5 years,A745147,Dog,,Return to Owner,Intact Male
2 months,A745148,Dog,Offsite,Adoption,Spayed Female
15 years,A745149,Cat,,Adoption,Neutered Male
15 years,A745149,Cat,,Adoption,Neutered Male
3 months,A745151,Dog,,Return to Owner,Neutered Male
3 years,A745152,Cat,,Adoption,Spayed Female
1 year,A745158,Dog,Partner,Transfer,Intact Male
1 year,A745160,Dog,Partner,Transfer,Neutered Male
3 years,A745161,Dog,,Adoption,Spayed Female
1 week,A745164,Cat,Partner,Transfer,Intact Female
1 week,A745165,Cat,Partner,Transfer,Intact Female
1 week,A745166,Cat,Partner,Transfer,Intact Female
1 week,A745167,Cat,Partner,Transfer,Intact Female
5 months,A745168,Dog,Partner,Transfer,Spayed Female
1 year,A745169,Cat,Partner,Transfer,Neutered Male
1 year,A745170,Dog,,Adoption,Spayed Female
1 year,A745170,Dog,Offsite,Adoption,Spayed Female
2 years,A745171,Dog,,Adoption,Neutered Male
4 months,A745172,Dog,,Adoption,Spayed Female
11 months,A745172,Dog,,Adoption,Spayed Female
7 years,A745174,Dog,Partner,Transfer,Spayed Female
3 years,A745179,Dog,,Adoption,Neutered Male
2 years,A745180,Dog,,Return to Owner,Intact Male
1 year,A745181,Dog,,Adoption,Spayed Female
1 year,A745181,Dog,,Adoption,Spayed Female
1 year,A745181,Dog,,Adoption,Spayed Female
2 years,A745183,Dog,,Adoption,Spayed Female
