age_upon_intake,animal_id,animal_type,intake_condition,intake_type,sex_upon_intake
2 years,A733801,Dog,Normal,Stray,Neutered Male
2 years,A733802,Dog,Normal,Stray,Spayed Female
11 years,A733804,Dog,Normal,Stray,Neutered Male
2 years,A733808,Cat,Normal,Stray,Intact Male
1 year,A733810,Dog,Injured,Stray,Intact Male
1 year,A733811,Dog,Normal,Stray,Intact Female
1 year,A733814,Cat,Normal,Owner Surrender,Neutered Male
1 year,A733815,Dog,Normal,Stray,Intact Male
2 years,A733816,Cat,Normal,Owner Surrender,Neutered Male
1 year,A733817,Dog,Normal,Stray,Intact Male
2 years,A733818,Dog,Normal,Stray,Intact Male
4 years,A733820,Dog,Normal,Owner Surrender,Neutered Male
4 years,A733820,Dog,Normal,Public Assist,Intact Male
4 years,A733821,Dog,Normal,Stray,Intact Female
8 years,A733827,Dog,Normal,Public Assist,Neutered Male
1 month,A733828,Cat,Normal,Stray,Intact Male
10 years,A733829,Dog,Injured,Stray,Neutered Male
2 years,A733831,Cat,Normal,Stray,Spayed Female
2 years,A733832,Cat,Normal,Stray,Neutered Male
1 year,A733833,Dog,Normal,Stray,Intact Female
3 years,A733834,Dog,Normal,Stray,Spayed Female
1 year,A733837,Dog,Normal,Public Assist,Intact Male
1 year,A733838,Dog,Normal,Public Assist,Intact Female
1 year,A733840,Dog,Normal,Stray,Intact Male
1 year,A733842,Dog,Normal,Stray,Intact Female
1 month,A733844,Cat,Injured,Stray,Intact Female
1 month,A733846,Dog,Injured,Stray,Intact Female
7 months,A733847,Dog,Normal,Stray,Intact Male
7 months,A733848,Dog,Normal,Stray,Intact Male
1 year,A733851,Dog,Normal,Stray,Intact Female
2 years,A733852,Dog,Normal,Owner Surrender,Neutered Male
3 years,A733853,Dog,Injured,Stray,Intact Female
3 years,A733856,Dog,Injured,Stray,Intact Female
3 years,A733856,Dog,Injured,Owner Surrender,Spayed Female
2 weeks,A733857,Cat,Normal,Stray,Unknown
2 weeks,A733858,Cat,Normal,Stray,Unknown
1 month,A733859,Dog,Normal,Stray,Intact Male
4 months,A733861,Cat,Normal,Stray,Intact Male
4 months,A733862,Cat,Normal,Stray,Intact Male
4 months,A733863,Dog,Normal,Owner Surrender,Intact Male
5 months,A733863,Dog,Normal,Owner Surrender,Neutered Male
3 years,A733864,Dog,Normal,Public Assist,Intact Male
4 years,A733865,Dog,Normal,Public Assist,Intact Male
5 months,A733866,Dog,Normal,Stray,Intact Male
1 year,A733868,Dog,Normal,Owner Surrender,Neutered Male
1 year,A733868,Dog,Normal,Stray,Intact Male
2 years,A733869,Dog,Normal,Stray,Intact Female
2 years,A733870,Dog,Normal,Stray,Intact Male
3 years,A733870,Dog,Normal,Stray,Neutered Male
2 months,A733871,Dog,Normal,Stray,Intact Female
3 months,A733872,Dog,Normal,Stray,Spayed Female
2 months,A733872,Dog,Normal,Stray,Intact Female
2 months,A733873,Dog,Normal,Stray,Intact Female
2 months,A733874,Dog,Normal,Stray,Intact Female
2 months,A733875,Dog,Normal,Stray,Intact Male
2 months,A733876,Dog,Normal,Stray,Intact Male
2 months,A733877,Dog,Normal,Stray,Intact Male
2 months,A733878,Dog,Normal,Stray,Intact Female
2 months,A733879,Dog,Normal,Stray,Intact Female
2 months,A733879,Dog,Normal,Owner Surrender,Spayed Female
2 years,A733880,Cat,Normal,Stray,Intact Female
2 weeks,A733881,Cat,Normal,Stray,Intact Female
2 weeks,A733882,Cat,Normal,Stray,Intact Female
2 weeks,A733883,Cat,Normal,Stray,Intact Male
2 weeks,A733884,Cat,Normal,Stray,Intact Male
1 year,A733886,Dog,Injured,Stray,Intact Male
1 weeks,A733890,Cat,Nursing,Stray,Intact Male
10 months,A733892,Cat,Normal,Stray,Intact Female
5 months,A733895,Dog,Normal,Stray,Intact Male
3 months,A733897,Dog,Normal,Stray,Intact Male
3 months,A733898,Dog,Normal,Stray,Intact Male
5 months,A733899,Cat,Normal,Stray,Intact Male
7 months,A733900,Cat,Normal,Stray,Intact Female
1 year,A733901,Cat,Normal,Stray,Intact Female
1 year,A733902,Cat,Normal,Stray,Intact Male
2 years,A733907,Dog,Normal,Stray,Intact Male
2 years,A733907,Dog,Normal,Owner Surrender,Neutered Male
1 month,A733908,Cat,Normal,Stray,Intact Female
2 years,A733911,Dog,Normal,Stray,Intact Female
4 years,A733912,Cat,Normal,Stray,Intact Female
5 years,A733913,Dog,Normal,Stray,Intact Female
2 years,A733915,Cat,Normal,Stray,Intact Male
3 years,A733916,Dog,Normal,Stray,Intact Female
2 months,A733917,Cat,Injured,Stray,Intact Female
4 months,A733920,Cat,Normal,Stray,Intact Female
4 months,A733921,Cat,Normal,Stray,Intact Female
8 months,A733923,Cat,Injured,Stray,Intact Female
10 months,A733924,Dog,Normal,Stray,Intact Female
5 years,A733926,Cat,Normal,Stray,Spayed Female
1 month,A733927,Cat,Normal,Stray,Intact Male
7 years,A733930,Dog,Normal,Owner Surrender,Neutered Male
11 years,A733931,Dog,Normal,Owner Surrender,Neutered Male
4 years,A733932,Dog,Normal,Stray,Spayed Female
1 year,A733934,Dog,Normal,Stray,Intact Female
12 years,A733936,Dog,Normal,Stray,Spayed Female
1 month,A733938,Cat,Normal,Stray,Intact Female
1 month,A733939,Cat,Normal,Stray,Intact Male
1 month,A733940,Cat,Normal,Stray,Intact Female
1 month,A733941,Cat,Normal,Stray,Intact Male
1 month,A733942,Cat,Normal,Stray,Intact Female
1 month,A733943,Cat,Normal,Stray,Intact Female
1 year,A733944,Dog,Normal,Stray,Intact Female
1 year,A733945,Dog,Normal,Stray,Intact Male
2 years,A733946,Dog,Normal,Public Assist,Intact Male
11 years,A733947,Dog,Normal,Stray,Spayed Female
11 years,A733947,Dog,Normal,Public Assist,Spayed Female
5 months,A733952,Cat,Sick,Stray,Intact Female
3 months,A733955,Dog,Normal,Stray,Intact Male
4 years,A733956,Cat,Normal,Owner Surrender,Spayed Female
1 year,A733959,Dog,Normal,Stray,Intact Female
1 year,A733960,Dog,Normal,Stray,Intact Male
1 month,A733961,Dog,Normal,Stray,Intact Male
1 month,A733962,Cat,Normal,Stray,Intact Female
1 month,A733963,Cat,Normal,Stray,Intact Male
2 years,A733964,Dog,Normal,Stray,Intact Male
3 years,A733964,Dog,Normal,Stray,Intact Male
3 months,A733965,Cat,Normal,Stray,Intact Female
1 year,A733966,Dog,Normal,Stray,Intact Male
4 weeks,A733967,Cat,Normal,Stray,Intact Female
1 year,A733968,Dog,Normal,Stray,Intact Male
2 years,A733969,Cat,Normal,Stray,Intact Male
1 year,A733972,Dog,Normal,Stray,Spayed Female
9 months,A733974,Dog,Normal,Owner Surrender,Neutered Male
1 month,A733978,Cat,Normal,Stray,Intact Male
3 weeks,A733980,Cat,Normal,Stray,Intact Male
3 weeks,A733981,Cat,Normal,Stray,Intact Male
9 years,A733982,Dog,Normal,Stray,Intact Female
2 weeks,A733983,Cat,Normal,Stray,Unknown
2 weeks,A733984,Cat,Normal,Stray,Unknown
2 weeks,A733985,Cat,Normal,Stray,Unknown
2 weeks,A733986,Cat,Normal,Stray,Unknown
1 year,A733987,Dog,Normal,Stray,Intact Male
1 year,A733988,Dog,Normal,Stray,Intact Female
6 years,A733996,Dog,Normal,Stray,Intact Female
8 years,A733999,Dog,Normal,Public Assist,Neutered Male
5 years,A734000,Dog,Normal,Stray,Spayed Female
1 year,A734004,Dog,Normal,Stray,Intact Female
1 year,A734004,Dog,Normal,Stray,Spayed Female
4 years,A734009,Cat,Normal,Stray,Spayed Female
1 year,A734010,Dog,Normal,Stray,Intact Male
10 years,A734011,Cat,Injured,Stray,Neutered Male
7 years,A734012,Dog,Normal,Stray,Neutered Male
7 years,A734012,Dog,Normal,Stray,Intact Male
10 months,A734013,Dog,Normal,Stray,Intact Male
4 weeks,A734014,Cat,Sick,Stray,Intact Female
5 years,A734015,Cat,Normal,Stray,Neutered Male
2 weeks,A734021,Cat,Normal,Stray,Intact Female
3 weeks,A734022,Cat,Normal,Stray,Unknown
3 weeks,A734023,Cat,Normal,Stray,Unknown
2 weeks,A734024,Cat,Normal,Stray,Intact Male
2 weeks,A734025,Cat,Normal,Stray,Intact Female
2 years,A734026,Cat,Normal,Stray,Intact Female
4 months,A734028,Dog,Sick,Stray,Intact Male
1 year,A734030,Cat,Injured,Stray,Intact Female
3 months,A734032,Cat,Sick,Stray,Intact Female
5 years,A734033,Dog,Normal,Owner Surrender,Neutered Male
5 years,A734033,Dog,Normal,Stray,Intact Male
4 months,A734034,Cat,Normal,Stray,Intact Male
2 years,A734035,Dog,Normal,Stray,Neutered Male
3 years,A734036,Dog,Normal,Stray,Intact Male
2 months,A734037,Dog,Normal,Stray,Intact Male
3 months,A734037,Dog,Sick,Owner Surrender,Neutered Male
10 months,A734039,Dog,Normal,Stray,Intact Male
1 year,A734040,Dog,Normal,Owner Surrender,Neutered Male
1 year,A734040,Dog,Normal,Stray,Intact Male
1 month,A734042,Cat,Normal,Stray,Intact Male
1 month,A734043,Cat,Normal,Stray,Intact Male
1 month,A734044,Cat,Normal,Stray,Intact Male
1 month,A734045,Cat,Normal,Stray,Intact Male
4 weeks,A734047,Cat,Normal,Stray,Unknown
3 weeks,A734049,Cat,Normal,Stray,Unknown
7 months,A734050,Cat,Normal,Stray,Intact Male
5 months,A734051,Dog,Normal,Stray,Intact Male
5 months,A734051,Dog,Normal,Owner Surrender,Neutered Male
1 year,A734052,Dog,Normal,Stray,Intact Male
2 years,A734053,Dog,Normal,Stray,Intact Male
3 months,A734054,Cat,Normal,Owner Surrender,Neutered Male
3 months,A734054,Cat,Normal,Stray,Intact Male
1 month,A734056,Cat,Normal,Stray,Intact Male
7 months,A734057,Dog,Normal,Stray,Neutered Male
1 year,A734058,Cat,Normal,Stray,Intact Male
11 years,A734059,Dog,Aged,Stray,Neutered Male
2 years,A734060,Cat,Normal,Public Assist,Neutered Male
3 weeks,A734061,Cat,Normal,Stray,Intact Male
3 weeks,A734062,Cat,Normal,Stray,Intact Female
2 years,A734063,Cat,Normal,Public Assist,Neutered Male
3 weeks,A734064,Cat,Normal,Stray,Intact Male
3 weeks,A734065,Cat,Normal,Stray,Intact Female
3 weeks,A734066,Cat,Normal,Stray,Intact Female
1 year,A734067,Cat,Normal,Stray,Intact Female
2 years,A734071,Cat,Normal,Public Assist,Spayed Female
6 months,A734073,Dog,Normal,Stray,Intact Male
2 months,A734074,Cat,Normal,Stray,Intact Female
2 years,A734077,Dog,Normal,Stray,Intact Male
6 months,A734078,Cat,Normal,Owner Surrender,Intact Male
6 months,A734079,Cat,Normal,Owner Surrender,Intact Female
3 months,A734080,Cat,Normal,Owner Surrender,Intact Male
3 months,A734081,Cat,Normal,Owner Surrender,Intact Female
1 year,A734082,Dog,Normal,Stray,Neutered Male
6 months,A734085,Dog,Normal,Stray,Intact Male
2 months,A734086,Dog,Normal,Stray,Neutered Male
1 year,A734087,Dog,Normal,Stray,Intact Female
4 months,A734089,Dog,Normal,Stray,Intact Female
4 years,A734091,Dog,Normal,Public Assist,Spayed Female
1 year,A734092,Cat,Normal,Stray,Intact Male
1 year,A734095,Dog,Normal,Stray,Intact Female
1 year,A734096,Dog,Normal,Public Assist,Spayed Female
1 year,A734096,Dog,Normal,Stray,Spayed Female
4 months,A734098,Dog,Normal,Stray,Intact Female
1 year,A734099,Dog,Normal,Stray,Intact Female
2 months,A734101,Cat,Normal,Stray,Intact Male
1 year,A734103,Cat,Normal,Stray,Intact Female
3 months,A734104,Cat,Normal,Stray,Intact Female
3 months,A734105,Cat,Normal,Stray,Intact Male
2 years,A734107,Dog,Normal,Stray,Neutered Male
3 months,A734108,Cat,Normal,Stray,Intact Female
1 year,A734109,Dog,Normal,Stray,Intact Male
8 years,A734113,Cat,Normal,Stray,Neutered Male
1 year,A734115,Dog,Normal,Owner Surrender,Neutered Male
1 year,A734115,Dog,Normal,Stray,Intact Male
2 years,A734119,Dog,Normal,Owner Surrender,Neutered Male
2 months,A734123,Cat,Normal,Stray,Intact Female
6 months,A734124,Dog,Injured,Owner Surrender,Intact Male
1 year,A734125,Cat,Normal,Stray,Intact Female
3 weeks,A734126,Cat,Normal,Stray,Intact Female
3 weeks,A734127,Cat,Normal,Stray,Intact Female
3 weeks,A734128,Cat,Normal,Stray,Intact Male
4 weeks,A734129,Cat,Normal,Stray,Intact Female
3 weeks,A734130,Cat,Normal,Stray,Intact Male
3 weeks,A734131,Cat,Normal,Stray,Intact Male
4 years,A734132,Dog,Normal,Stray,Neutered Male
4 years,A734132,Dog,Normal,Stray,Intact Male
5 years,A734132,Dog,Other,Public Assist,Neutered Male
5 months,A734133,Cat,Normal,Stray,Intact Female
2 months,A734135,Dog,Normal,Stray,Intact Female
10 months,A734136,Cat,Injured,Stray,Spayed Female
1 weeks,A734137,Cat,Normal,Stray,Intact Male
1 weeks,A734138,Cat,Normal,Stray,Intact Female
1 weeks,A734139,Cat,Normal,Stray,Intact Female
1 weeks,A734140,Cat,Normal,Stray,Intact Female
1 weeks,A734141,Cat,Normal,Stray,Intact Female
11 months,A734145,Dog,Normal,Owner Surrender,Intact Female
1 year,A734147,Cat,Normal,Stray,Intact Male
9 months,A734148,Dog,Normal,Owner Surrender,Neutered Male
1 year,A734149,Cat,Normal,Owner Surrender,Intact Female
1 month,A734150,Cat,Normal,Owner Surrender,Intact Female
1 month,A734151,Cat,Normal,Owner Surrender,Intact Female
1 month,A734152,Cat,Normal,Owner Surrender,Intact Female
1 month,A734153,Cat,Normal,Owner Surrender,Intact Female
2 years,A734154,Dog,Normal,Owner Surrender,Spayed Female
2 years,A734154,Dog,Normal,Stray,Intact Female
1 month,A734156,Cat,Normal,Stray,Intact Male
3 years,A734157,Dog,Normal,Stray,Intact Female
6 years,A734158,Dog,Normal,Stray,Neutered Male
2 years,A734160,Cat,Normal,Stray,Intact Female
1 month,A734161,Cat,Normal,Stray,Intact Male
1 month,A734162,Cat,Normal,Stray,Intact Male
1 month,A734163,Cat,Normal,Stray,Intact Male
2 years,A734164,Dog,Normal,Owner Surrender,Neutered Male
2 years,A734164,Dog,Normal,Stray,Intact Male
6 months,A734166,Dog,Normal,Stray,Intact Male
9 months,A734166,Dog,Normal,Owner Surrender,Neutered Male
1 year,A734170,Dog,Normal,Stray,Spayed Female
1 year,A734171,Dog,Normal,Stray,Intact Male
7 months,A734173,Dog,Normal,Stray,Intact Male
5 years,A734178,Dog,Normal,Stray,Intact Male
3 years,A734180,Dog,Sick,Stray,Intact Male
10 years,A734181,Dog,Normal,Owner Surrender,Spayed Female
1 year,A734182,Dog,Normal,Public Assist,Intact Male
4 years,A734185,Dog,Normal,Stray,Intact Male
2 years,A734186,Dog,Normal,Stray,Intact Male
3 years,A734187,Dog,Normal,Stray,Intact Female
11 months,A734188,Dog,Normal,Stray,Intact Female
2 years,A734189,Cat,Normal,Stray,Spayed Female
2 years,A734190,Dog,Normal,Public Assist,Intact Male
2 years,A734194,Dog,Normal,Stray,Intact Male
2 years,A734195,Cat,Normal,Stray,Spayed Female
2 years,A734196,Dog,Normal,Owner Surrender,Intact Female
1 week,A734197,Dog,Normal,Owner Surrender,Intact Female
1 week,A734198,Dog,Normal,Owner Surrender,Intact Male
1 week,A734199,Dog,Normal,Owner Surrender,Intact Male
1 week,A734200,Dog,Normal,Owner Surrender,Intact Male
1 week,A734201,Dog,Normal,Owner Surrender,Intact Male
1 week,A734202,Dog,Normal,Owner Surrender,Intact Female
1 week,A734203,Dog,Normal,Owner Surrender,Intact Female
1 week,A734204,Dog,Normal,Owner Surrender,Intact Female
1 week,A734205,Dog,Normal,Owner Surrender,Intact Female
1 week,A734206,Dog,Normal,Owner Surrender,Intact Female
13 years,A734208,Dog,Normal,Owner Surrender,Spayed Female
13 years,A734209,Dog,Normal,Owner Surrender,Neutered Male
13 years,A734210,Dog,Normal,Owner Surrender,Neutered Male
2 years,A734212,Cat,Normal,Owner Surrender,Spayed Female
3 years,A734214,Dog,Normal,Stray,Intact Male
2 years,A734216,Dog,Normal,Stray,Intact Female
1 year,A734217,Dog,Normal,Stray,Intact Male
1 year,A734218,Dog,Normal,Owner Surrender,Intact Male
1 year,A734218,Dog,Normal,Public Assist,Neutered Male
1 year,A734218,Dog,Normal,Owner Surrender,Neutered Male
1 year,A734218,Dog,Normal,Public Assist,Neutered Male
8 months,A734219,Dog,Normal,Stray,Intact Male
2 years,A734220,Dog,Normal,Public Assist,Intact Female
2 years,A734221,Dog,Normal,Public Assist,Intact Male
2 years,A734222,Dog,Normal,Stray,Intact Female
2 years,A734222,Dog,Normal,Owner Surrender,Spayed Female
1 year,A734227,Dog,Normal,Public Assist,Neutered Male
1 week,A734231,Cat,Sick,Stray,Unknown
3 months,A734234,Cat,Normal,Stray,Unknown
6 months,A734236,Dog,Normal,Stray,Unknown
5 months,A734246,Cat,Normal,Stray,Intact Female
9 months,A734254,Dog,Normal,Stray,Intact Male
5 years,A734258,Dog,Normal,Stray,Intact Male
1 year,A734259,Dog,Normal,Stray,Intact Male
1 year,A734260,Dog,Normal,Stray,Intact Male
12 years,A734261,Cat,Normal,Owner Surrender,Spayed Female
11 years,A734261,Cat,Normal,Stray,Spayed Female
2 months,A734263,Cat,Normal,Owner Surrender,Spayed Female
2 months,A734263,Cat,Normal,Owner Surrender,Spayed Female
4 months,A734266,Dog,Normal,Stray,Neutered Male
4 months,A734266,Dog,Normal,Owner Surrender,Neutered Male
2 weeks,A734267,Cat,Normal,Stray,Intact Female
1 year,A734270,Dog,Normal,Stray,Intact Male
5 years,A734272,Dog,Normal,Stray,Spayed Female
5 years,A734273,Dog,Normal,Stray,Intact Female
3 years,A734274,Dog,Normal,Stray,Intact Male
2 years,A734277,Cat,Normal,Stray,Intact Female
2 years,A734278,Cat,Normal,Stray,Intact Female
1 year,A734280,Dog,Normal,Stray,Intact Male
1 year,A734280,Dog,Normal,Owner Surrender,Neutered Male
2 years,A734281,Dog,Normal,Public Assist,Intact Female
2 years,A734282,Dog,Normal,Public Assist,Intact Male
3 weeks,A734283,Cat,Sick,Stray,Intact Female
1 month,A734284,Cat,Injured,Stray,Intact Female
1 weeks,A734285,Cat,Injured,Stray,Unknown
1 weeks,A734286,Cat,Injured,Stray,Unknown
1 weeks,A734287,Cat,Injured,Stray,Unknown
5 years,A734290,Dog,Normal,Public Assist,Intact Male
7 years,A734293,Dog,Normal,Stray,Spayed Female
4 weeks,A734295,Cat,Normal,Stray,Intact Male
4 weeks,A734296,Cat,Normal,Stray,Intact Male
4 weeks,A734297,Cat,Normal,Stray,Intact Female
4 weeks,A734298,Cat,Normal,Stray,Intact Male
4 weeks,A734299,Cat,Normal,Stray,Intact Female
1 year,A734303,Cat,Normal,Stray,Intact Female
3 years,A734304,Dog,Normal,Stray,Intact Male
5 years,A734305,Dog,Normal,Stray,Spayed Female
3 years,A734306,Dog,Normal,Stray,Intact Male
3 years,A734307,Dog,Normal,Public Assist,Spayed Female
10 years,A734308,Dog,Normal,Public Assist,Neutered Male
10 years,A734309,Dog,Normal,Public Assist,Neutered Male
7 months,A734310,Dog,Normal,Stray,Neutered Male
1 month,A734311,Cat,Injured,Stray,Intact Female
1 year,A734312,Dog,Normal,Stray,Intact Male
4 years,A734313,Dog,Normal,Stray,Intact Male
3 weeks,A734314,Cat,Normal,Stray,Intact Female
8 years,A734316,Dog,Normal,Stray,Neutered Male
4 months,A734318,Dog,Normal,Stray,Intact Female
2 years,A734320,Dog,Normal,Stray,Intact Male
1 month,A734321,Cat,Normal,Owner Surrender,Intact Female
1 month,A734322,Cat,Normal,Owner Surrender,Intact Male
1 month,A734323,Cat,Normal,Owner Surrender,Intact Male
1 month,A734324,Cat,Normal,Owner Surrender,Intact Male
1 month,A734325,Cat,Normal,Owner Surrender,Intact Male
3 years,A734326,Cat,Normal,Stray,Neutered Male
3 years,A734326,Cat,Normal,Stray,Neutered Male
6 years,A734327,Dog,Normal,Stray,Neutered Male
2 months,A734328,Cat,Normal,Stray,Intact Male
2 years,A734329,Dog,Normal,Stray,Intact Male
4 weeks,A734330,Cat,Normal,Stray,Intact Male
4 weeks,A734331,Cat,Normal,Stray,Intact Female
4 weeks,A734332,Cat,Normal,Stray,Intact Female
4 weeks,A734333,Cat,Normal,Stray,Intact Male
1 year,A734334,Dog,Normal,Stray,Neutered Male
4 weeks,A734335,Cat,Normal,Stray,Intact Male
1 year,A734337,Dog,Normal,Owner Surrender,Spayed Female
1 year,A734337,Dog,Normal,Public Assist,Spayed Female
9 months,A734337,Dog,Normal,Stray,Intact Female
6 years,A734338,Dog,Normal,Public Assist,Intact Male
3 years,A734339,Dog,Injured,Stray,Neutered Male
3 years,A734339,Dog,Injured,Stray,Neutered Male
3 years,A734339,Dog,Normal,Stray,Intact Male
7 months,A734340,Dog,Normal,Owner Surrender,Intact Female
1 month,A734342,Cat,Normal,Stray,Intact Male
1 month,A734343,Cat,Normal,Stray,Intact Male
1 month,A734344,Cat,Normal,Stray,Intact Male
3 months,A734345,Cat,Normal,Stray,Intact Male
3 months,A734346,Cat,Normal,Stray,Intact Female
1 year,A734347,Cat,Normal,Stray,Spayed Female
6 months,A734348,Cat,Normal,Stray,Intact Female
2 years,A734349,Cat,Normal,Public Assist,Intact Male
5 years,A734350,Dog,Normal,Stray,Intact Male
9 months,A734351,Dog,Normal,Stray,Intact Female
7 years,A734353,Dog,Normal,Stray,Neutered Male
3 weeks,A734354,Cat,Normal,Stray,Intact Male
3 weeks,A734355,Cat,Normal,Stray,Intact Female
3 weeks,A734356,Cat,Normal,Stray,Intact Female
3 weeks,A734357,Cat,Normal,Stray,Intact Female
3 weeks,A734358,Cat,Normal,Stray,Intact Female
1 month,A734359,Cat,Normal,Stray,Intact Male
2 months,A734360,Dog,Normal,Stray,Intact Female
3 years,A734361,Dog,Normal,Stray,Neutered Male
2 years,A734364,Dog,Injured,Stray,Intact Female
1 year,A734365,Cat,Normal,Public Assist,Neutered Male
1 year,A734367,Dog,Normal,Stray,Intact Male
1 year,A734367,Dog,Normal,Stray,Intact Male
1 year,A734367,Dog,Normal,Stray,Neutered Male
1 year,A734368,Dog,Normal,Stray,Spayed Female
6 months,A734369,Cat,Normal,Stray,Intact Female
1 year,A734370,Dog,Normal,Stray,Intact Female
4 weeks,A734373,Cat,Normal,Stray,Intact Female
3 years,A734374,Cat,Normal,Stray,Spayed Female
2 months,A734375,Dog,Normal,Stray,Intact Male
2 months,A734376,Dog,Normal,Stray,Intact Female
1 year,A734377,Cat,Normal,Stray,Intact Female
2 weeks,A734379,Cat,Normal,Stray,Unknown
3 years,A734380,Dog,Normal,Stray,Intact Male
5 years,A734381,Dog,Normal,Stray,Intact Female
1 month,A734382,Cat,Normal,Stray,Intact Male
3 years,A734385,Dog,Normal,Stray,Neutered Male
3 years,A734385,Dog,Normal,Stray,Intact Male
2 years,A734386,Dog,Injured,Stray,Intact Male
1 week,A734387,Cat,Nursing,Stray,Intact Male
1 year,A734389,Dog,Normal,Owner Surrender,Spayed Female
1 year,A734390,Dog,Normal,Owner Surrender,Neutered Male
4 years,A734391,Dog,Normal,Owner Surrender,Intact Female
2 months,A734395,Dog,Normal,Public Assist,Intact Male
8 years,A734396,Cat,Normal,Owner Surrender,Spayed Female
1 year,A734397,Cat,Injured,Stray,Intact Male
3 years,A734400,Dog,Normal,Stray,Intact Male
2 years,A734401,Dog,Normal,Owner Surrender,Neutered Male
2 years,A734401,Dog,Normal,Stray,Intact Male
1 year,A734402,Cat,Normal,Stray,Intact Female
3 weeks,A734403,Cat,Normal,Stray,Intact Male
3 weeks,A734404,Cat,Normal,Stray,Intact Male
3 weeks,A734405,Cat,Normal,Stray,Intact Female
3 weeks,A734406,Cat,Normal,Stray,Intact Male
5 months,A734407,Dog,Normal,Stray,Intact Male
5 months,A734408,Dog,Normal,Stray,Intact Male
2 years,A734409,Dog,Normal,Stray,Intact Male
2 years,A734410,Dog,Normal,Owner Surrender,Spayed Female
2 years,A734410,Dog,Normal,Stray,Intact Female
2 years,A734410,Dog,Normal,Owner Surrender,Spayed Female
4 weeks,A734412,Cat,Normal,Stray,Intact Male
4 weeks,A734413,Cat,Normal,Stray,Intact Male
4 weeks,A734414,Cat,Normal,Stray,Intact Female
9 months,A734416,Dog,Sick,Owner Surrender,Intact Male
3 days,A734417,Cat,Normal,Stray,Unknown
3 years,A734418,Dog,Normal,Stray,Intact Male
2 months,A734419,Dog,Injured,Owner Surrender,Intact Male
3 weeks,A734420,Cat,Normal,Stray,Intact Male
3 weeks,A734421,Cat,Normal,Stray,Intact Male
3 weeks,A734422,Cat,Normal,Stray,Intact Female
3 weeks,A734423,Cat,Normal,Stray,Intact Female
1 month,A734424,Cat,Normal,Stray,Intact Female
1 month,A734425,Cat,Normal,Stray,Intact Female
7 years,A734427,Dog,Injured,Stray,Neutered Male
7 years,A734427,Dog,Normal,Stray,Neutered Male
6 years,A734428,Dog,Normal,Stray,Neutered Male
2 months,A734429,Cat,Normal,Stray,Intact Male
5 years,A734430,Cat,Normal,Stray,Spayed Female
4 years,A734431,Dog,Normal,Stray,Intact Female
2 years,A734433,Dog,Normal,Stray,Intact Female
3 years,A734435,Cat,Normal,Public Assist,Spayed Female
2 years,A734435,Cat,Normal,Stray,Spayed Female
2 years,A734435,Cat,Normal,Stray,Spayed Female
2 years,A734435,Cat,Normal,Stray,Spayed Female
4 months,A734437,Dog,Normal,Stray,Spayed Female
1 month,A734439,Cat,Normal,Stray,Intact Female
1 month,A734440,Cat,Normal,Stray,Intact Male
1 month,A734441,Cat,Normal,Stray,Intact Female
5 months,A734442,Dog,Injured,Stray,Intact Female
3 years,A734444,Dog,Normal,Owner Surrender,Intact Female
3 years,A734444,Dog,Normal,Owner Surrender,Spayed Female
7 years,A734446,Dog,Normal,Owner Surrender,Neutered Male
2 years,A734449,Dog,Normal,Owner Surrender,Intact Male
5 months,A734451,Dog,Normal,Owner Surrender,Intact Female
2 years,A734453,Dog,Normal,Owner Surrender,Intact Female
2 months,A734456,Dog,Normal,Stray,Intact Male
4 months,A734457,Cat,Normal,Stray,Intact Male
1 year,A734458,Dog,Normal,Stray,Intact Male
2 years,A734459,Dog,Normal,Stray,Intact Male
1 month,A734460,Cat,Normal,Stray,Intact Female
4 months,A734461,Cat,Normal,Owner Surrender,Neutered Male
3 months,A734461,Cat,Normal,Stray,Intact Male
5 months,A734462,Dog,Normal,Owner Surrender,Intact Male
6 months,A734462,Dog,Sick,Owner Surrender,Neutered Male
5 months,A734463,Dog,Normal,Owner Surrender,Intact Male
2 years,A734465,Dog,Normal,Public Assist,Intact Male
4 years,A734466,Dog,Normal,Stray,Intact Male
7 months,A734467,Dog,Normal,Public Assist,Intact Male
2 months,A734468,Cat,Normal,Stray,Intact Female
4 months,A734471,Dog,Normal,Stray,Neutered Male
1 year,A734472,Dog,Normal,Stray,Intact Male
1 year,A734472,Dog,Normal,Owner Surrender,Neutered Male
13 years,A734475,Dog,Normal,Owner Surrender,Intact Female
6 months,A734476,Dog,Normal,Stray,Intact Female
4 weeks,A734480,Cat,Sick,Stray,Intact Female
4 weeks,A734481,Cat,Sick,Stray,Intact Female
3 years,A734484,Dog,Normal,Stray,Intact Female
3 years,A734484,Dog,Normal,Stray,Intact Female
1 year,A734485,Dog,Normal,Stray,Intact Female
1 month,A734488,Cat,Normal,Stray,Intact Female
8 years,A734495,Dog,Normal,Stray,Neutered Male
4 years,A734496,Dog,Sick,Owner Surrender,Intact Female
2 years,A734500,Cat,Normal,Stray,Neutered Male
6 years,A734501,Dog,Normal,Public Assist,Neutered Male
4 weeks,A734503,Cat,Normal,Stray,Intact Male
2 years,A734504,Dog,Normal,Stray,Neutered Male
3 months,A734505,Cat,Normal,Stray,Intact Male
2 years,A734507,Dog,Normal,Stray,Neutered Male
6 months,A734511,Dog,Normal,Stray,Intact Male
